id,stateId,stateCode,sourceName,sourceUrl,targetTable,gapFamily,serviceTags,sourceFamily,crawlMethod,ledgerStatus,firstPartyMode,expectedExtractionFields,whyNeeded,promotionRule,evidenceUrl
housing-hud-pha-contacts,national,,HUD Public Housing Agency Contact Information,https://www.hud.gov/program_offices/public_indian_housing/pha/contacts,nonprofit_organizations,housing,housing,official_government_housing,static_fetch,ready_lightweight,official_or_authoritative_directory,"agency_name, state, county_or_city, phone, website",Find local public housing agencies and rental-assistance routing for families needing housing help.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.hud.gov/program_offices/public_indian_housing/pha/contacts
housing-hud-resource-locator,national,,HUD Resource Locator,https://resources.hud.gov/,nonprofit_organizations,housing,housing,official_government_housing,playwright,ready_js_heavy,official_or_authoritative_directory,"resource_name, address, phone, website, service_type","Discover housing counseling, affordable housing, and local HUD-connected resources.",Discovery or staging only until extracted rows pass public-safe validation.,https://resources.hud.gov/
goods-at3-state-program-directory,national,,AT3 State Assistive Technology Program Directory,https://at3center.net/state-at-programs,nonprofit_organizations,goods_supplies,supplies|home_mods,authoritative_assistive_technology_directory,static_fetch,ready_lightweight,official_or_authoritative_directory,"program_name, state, phone, website, device_loan, reuse, financing","Find state AT programs for equipment loans, reuse, home modifications, and disability supplies.",Discovery or staging only until extracted rows pass public-safe validation.,https://at3center.net/state-at-programs/
jobs-rsa-state-vr-agencies,national,,RSA State Vocational Rehabilitation Agencies,https://rsa.ed.gov/about/states,programs,jobs_vocational,vocational_rehab|transition,official_government_vr,static_fetch,ready_lightweight,official_or_authoritative_directory,"agency_name, state, phone, website, blind_agency_flag","Find state VR agencies for jobs, transition, supported employment, and disability employment routing.",Discovery or staging only until extracted rows pass public-safe validation.,https://rsa.ed.gov/about/states
legal-lsc-get-legal-help,national,,Legal Services Corporation Get Legal Help,https://www.lsc.gov/about-lsc/what-legal-aid/get-legal-help,nonprofit_organizations,legal_aid,legal_aid|appeals,authoritative_legal_aid_directory,static_fetch,ready_lightweight,official_or_authoritative_directory,"organization_name, state, counties_served, phone, website","Find civil legal-aid organizations for benefits, housing, education, and family legal support.",Discovery or staging only until extracted rows pass public-safe validation.,https://www.lsc.gov/about-lsc/what-legal-aid/get-legal-help
legal-ndrn-member-agencies,national,,NDRN Protection and Advocacy Member Agencies,https://www.ndrn.org/about/ndrn-member-agencies,iep_advocates,advocates_legal,legal_aid|iep_advocacy|appeals,authoritative_protection_advocacy_directory,static_fetch,ready_lightweight,official_or_authoritative_directory,"agency_name, state, phone, website, disability_rights_focus",Replace weak advocate directories with official P&A agencies and disability-rights legal sources.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.ndrn.org/about/ndrn-member-agencies/
legal-parent-center-hub-directory,national,,Parent Center Hub Find Your Parent Center,https://www.parentcenterhub.org/find-your-center,iep_advocates,advocates_legal,iep_advocacy|special_education|appeals,authoritative_parent_center_directory,static_fetch,ready_lightweight,official_or_authoritative_directory,"center_name, state, phone, website, service_area",Add authoritative parent training and information centers as first-party-aligned advocate/legal sources.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.parentcenterhub.org/find-your-center
legal-ed-osep-dispute-resolution,national,,OSEP Dispute Resolution and Due Process Resources,https://sites.ed.gov/idea/idea-files/osep-memo-and-qa-on-dispute-resolution,iep_advocates,advocates_legal,special_education|appeals|iep_advocacy,official_special_education_dispute_guidance,static_fetch,ready_lightweight,official_or_authoritative_directory,"resource_name, dispute_type, official_links, agency_contact","Add official dispute-resolution source family for special education complaints, mediation, and due-process help.",Discovery or staging only until extracted rows pass public-safe validation.,https://sites.ed.gov/idea/idea-files/osep-memo-and-qa-on-dispute-resolution/
transport-211-national,national,,211 National Search,https://www.211.org/,nonprofit_organizations,transport_utilities_food,transport|utilities|food|housing,social_services_directory,playwright,discovery_only,third_party_directory,"local_211_operator, service_category, referral_url","Discover local help for transportation, utilities, food, housing, and emergency support.",Use only to discover first-party organization pages or local 211 operator pages before promotion.,https://www.211.org/
providers-hrsa-find-health-center,national,,HRSA Find a Health Center,https://findahealthcenter.hrsa.gov/,resource_providers,providers_care,therapy|behavioral_health|early_intervention,official_provider_directory,playwright,ready_js_heavy,official_or_authoritative_directory,"clinic_name, address, phone, website, services, sliding_fee",Find federally supported clinics that can help fill the care/provider layer.,Discovery or staging only until extracted rows pass public-safe validation.,https://findahealthcenter.hrsa.gov/
providers-medicare-care-compare,national,,Medicare Care Compare,https://www.medicare.gov/care-compare,resource_providers,providers_care,therapy|caregiving|in_home_support,official_provider_directory,playwright,discovery_only,official_or_authoritative_directory,"provider_name, address, phone, provider_type",Discover certified home health and care providers for care-related gaps.,Use for discovery and verification only; promote only if provider-level details pass public-safe validation.,https://www.medicare.gov/care-compare/
care-cil-directory,national,,ILRU Center for Independent Living Directory,https://www.ilru.org/projects/cil-net/cil-center-and-association-directory,nonprofit_organizations,care_independent_living,in_home_support|transport|home_mods|benefits,authoritative_independent_living_directory,static_fetch,ready_lightweight,official_or_authoritative_directory,"cil_name, state, address, phone, website, services","Find CILs for independent living, benefits navigation, housing, transportation, and equipment support.",Discovery or staging only until extracted rows pass public-safe validation.,https://www.ilru.org/projects/cil-net/cil-center-and-association-directory
knowledge-cdc-developmental-disabilities,national,,CDC Developmental Disabilities,https://www.cdc.gov/child-development/about/developmental-disability-basics.html,knowledge_articles,knowledge_content,early_intervention|behavioral_health,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"condition_overview, warning_signs, next_steps, official_links",Build source-backed explanatory content for developmental disability family journeys.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/child-development/about/developmental-disability-basics.html
knowledge-cdc-autism-spectrum-disorder,national,,CDC Autism Spectrum Disorder,https://www.cdc.gov/autism/about/index.html,knowledge_articles,knowledge_content,behavioral_health|early_intervention,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"condition_overview, signs, screening, next_steps, official_links","Build official autism journey content covering signs, screening, and next steps.",Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/autism/about/index.html
knowledge-cdc-developmental-milestones,national,,CDC Developmental Milestones,https://www.cdc.gov/act-early/milestones/index.html,knowledge_articles,knowledge_content,early_intervention,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"age_band, milestone_summary, warning_signs, next_steps",Build age/stage developmental guidance for early identification and referral journeys.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/act-early/milestones/index.html
knowledge-cdc-act-early-intervention,national,,CDC Learn the Signs Act Early Early Intervention,https://www.cdc.gov/act-early/early-intervention/index.html,knowledge_articles,knowledge_content,early_intervention|caregiving,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"early_intervention_overview, referral_pathways, state_contact_topics, official_links",Add an exact CDC early-intervention source to deepen post-screening referral and next-step journey guidance.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/act-early/early-intervention/index.html
knowledge-cdc-act-early-concerned,national,,CDC Concerned About Your Childs Development,https://www.cdc.gov/act-early/families/concerned.html,knowledge_articles,knowledge_content,early_intervention|caregiving,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"concern_signals, parent_next_steps, referral_actions, official_links",Add an exact CDC family next-steps source for the moment when parents are concerned and need practical action guidance.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/act-early/families/concerned.html
knowledge-cdc-act-early-families,national,,CDC Learn the Signs Act Early Resources for Families,https://www.cdc.gov/act-early/families/index.html,knowledge_articles,knowledge_content,early_intervention|caregiving,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"family_resource_types, milestone_tools, support_navigation, official_links","Add a CDC family-resources hub to deepen diagnosis, monitoring, and early-support knowledge coverage.",Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/act-early/families/index.html
knowledge-cdc-act-early-about,national,,CDC Learn the Signs Act Early About,https://www.cdc.gov/act-early/about/index.html,knowledge_articles,knowledge_content,early_intervention|caregiving,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"program_overview, developmental_monitoring_basics, screening_context, official_links",Add CDC program-overview context that strengthens developmental monitoring and screening explainers for families.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/act-early/about/index.html
knowledge-cdc-act-early-monitoring-screening,national,,CDC Developmental Monitoring and Screening,https://www.cdc.gov/act-early/about/developmental-monitoring-and-screening.html,knowledge_articles,knowledge_content,early_intervention|caregiving,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"monitoring_vs_screening, timing_guidance, referral_context, official_links",Add exact CDC monitoring-versus-screening guidance to deepen early-identification and next-step knowledge coverage.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/act-early/about/developmental-monitoring-and-screening.html
knowledge-cdc-act-early-ei-contacts,national,,CDC Early Intervention Contact Information by State,https://www.cdc.gov/act-early/early-intervention/contact-information-by-state.html,knowledge_articles,knowledge_content,early_intervention|caregiving,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"state_contact_overview, referral_route, state_lookup_topics, official_links",Add exact CDC early-intervention state-contact guidance to strengthen referral and handoff steps after concern or screening.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/act-early/early-intervention/contact-information-by-state.html
knowledge-cdc-act-early-milestone-checklists,national,,CDC Developmental Milestone Checklists,https://www.cdc.gov/act-early/resources/milestone-checklists.html,knowledge_articles,knowledge_content,early_intervention|caregiving,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"checklist_resources, age_band_tools, parent_use_guidance, official_links",Add exact CDC milestone-checklist guidance to deepen monitoring tools and practical family action steps.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/act-early/resources/milestone-checklists.html
knowledge-cdc-act-early-milestone-tracker-app,national,,CDC Milestone Tracker App,https://www.cdc.gov/act-early/milestones-app/index.html,knowledge_articles,knowledge_content,early_intervention|caregiving,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"app_features, milestone_tracking_use, family_next_steps, official_links",Add exact CDC milestone-tracker app guidance to strengthen practical monitoring and follow-through support for families.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/act-early/milestones-app/index.html
knowledge-cdc-act-early-resources,national,,CDC Learn the Signs Act Early Resources,https://www.cdc.gov/act-early/resources/index.html,knowledge_articles,knowledge_content,early_intervention|caregiving,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"resource_types, family_tools, professional_tools, official_links",Add the CDC act-early resources hub to deepen practical tool and handout coverage for families and helpers.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/act-early/resources/index.html
knowledge-cdc-act-early-other-programs,national,,CDC Learn the Signs Act Early Other Programs for Children,https://www.cdc.gov/act-early/other-programs/index.html,knowledge_articles,knowledge_content,early_intervention|caregiving,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"program_types, referral_options, support_pathways, official_links",Add CDC guidance on other child-support programs to strengthen referral and handoff options beyond screening alone.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/act-early/other-programs/index.html
knowledge-cdc-act-early-milestones-in-action,national,,CDC Milestones in Action,https://www.cdc.gov/act-early/milestones-in-action/index.html,knowledge_articles,knowledge_content,early_intervention|caregiving,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"example_milestones, age_examples, family_observation_guidance, official_links",Add concrete milestone examples to deepen parent recognition and monitoring guidance across early-childhood journeys.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/act-early/milestones-in-action/index.html
knowledge-cdc-act-early-hcp,national,,CDC Learn the Signs Act Early Resources for Healthcare Providers,https://www.cdc.gov/act-early/hcp/index.html,knowledge_articles,knowledge_content,early_intervention|caregiving,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"provider_resource_types, screening_supports, referral_coordination, official_links",Add CDC provider-facing guidance that strengthens how families can understand clinician screening and referral support.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/act-early/hcp/index.html
knowledge-cdc-developmental-screening,national,,CDC Developmental Screening,https://www.cdc.gov/child-development/screening/index.html,knowledge_articles,knowledge_content,early_intervention|behavioral_health,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"screening_overview, screening_timing, referral_next_steps, official_links","Add official developmental screening guidance for early identification, referrals, and next-step planning.",Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/child-development/screening/index.html
knowledge-cdc-autism-signs-symptoms,national,,CDC Autism Signs and Symptoms,https://www.cdc.gov/autism/signs-symptoms/index.html,knowledge_articles,knowledge_content,behavioral_health|early_intervention,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"autism_signs, early_warning_signs, developmental_differences, official_links",Add a more specific official autism early-signs source to deepen the diagnosis and screening journey.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/autism/signs-symptoms/index.html
knowledge-cdc-autism-diagnosis,national,,CDC Autism Diagnosis,https://www.cdc.gov/autism/diagnosis/index.html,knowledge_articles,knowledge_content,behavioral_health|early_intervention,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"diagnosis_process, evaluation_types, referral_steps, official_links",Add official autism diagnosis guidance covering evaluation steps and referral pathways for families.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/autism/diagnosis/index.html
knowledge-cdc-adhd-about,national,,CDC ADHD Overview,https://www.cdc.gov/adhd/about/index.html,knowledge_articles,knowledge_content,behavioral_health|education,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"condition_overview, symptom_topics, support_options, official_links","Add official ADHD overview content to deepen diagnosis, school support, and behavioral health guidance.",Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/adhd/about/index.html
knowledge-cdc-adhd-diagnosis,national,,CDC ADHD Diagnosis,https://www.cdc.gov/adhd/diagnosis/index.html,knowledge_articles,knowledge_content,behavioral_health|education,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"diagnosis_process, evaluation_steps, clinician_roles, official_links",Add official ADHD diagnosis guidance covering evaluation steps and clinical pathways for families.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/adhd/diagnosis/index.html
knowledge-cdc-adhd-symptoms,national,,CDC ADHD Symptoms and Diagnosis Criteria,https://www.cdc.gov/adhd/signs-symptoms/index.html,knowledge_articles,knowledge_content,behavioral_health|education,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"symptom_lists, age_patterns, school_impacts, official_links","Add a more specific official ADHD symptoms source to deepen diagnosis, school impacts, and family recognition guidance.",Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/adhd/signs-symptoms/index.html
knowledge-cdc-adhd-treatment,national,,CDC ADHD Treatment,https://www.cdc.gov/adhd/treatment/index.html,knowledge_articles,knowledge_content,behavioral_health|caregiving,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"treatment_options, behavior_therapy_topics, medication_topics, official_links","Add official ADHD treatment guidance covering behavior therapy, medication, and family support options.",Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/adhd/treatment/index.html
knowledge-idea-ed-special-education,national,,IDEA Individuals with Disabilities Education Act,https://sites.ed.gov/idea,knowledge_articles,knowledge_content,special_education|iep_advocacy|appeals,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"rights, process_steps, dispute_resolution, official_links","Build source-backed special education, IEP, and procedural safeguards content.",Discovery or staging only until extracted rows pass public-safe validation.,https://sites.ed.gov/idea/
knowledge-ed-osep-hearing-complaint-mediation,national,,OSEP IDEA Dispute Resolution Overview,https://sites.ed.gov/idea/idea-files/osep-memo-and-qa-on-dispute-resolution,knowledge_articles,knowledge_content,special_education|appeals,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"dispute_type, timeline, process_steps, official_links","Build official complaint, mediation, and due-process journey explainers.",Discovery or staging only until extracted rows pass public-safe validation.,https://sites.ed.gov/idea/idea-files/osep-memo-and-qa-on-dispute-resolution/
knowledge-ssa-child-disability-benefits,national,,SSA Child Disability Benefits,https://www.ssa.gov/benefits/disability/qualify.html,knowledge_articles,knowledge_content,benefits,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"eligibility, application_steps, evidence_needed, official_links",Build SSI and child disability benefits guidance from an official source.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.ssa.gov/benefits/disability/qualify.html#anchor7
knowledge-ssa-apply-child-disability,national,,SSA Apply for Child Disability Benefits,https://www.ssa.gov/benefits/disability/apply-child.html,knowledge_articles,knowledge_content,benefits|appeals,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"application_steps, required_documents, appointment_process, official_links",Build child SSI application journey content with official application steps and required documents.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.ssa.gov/benefits/disability/apply-child.html
knowledge-ssa-disability-appeal,national,,SSA Disability Appeal,https://www.ssa.gov/benefits/disability/appeal.html,knowledge_articles,knowledge_content,benefits|appeals,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"appeal_levels, filing_steps, deadlines_overview, official_links","Add official SSA disability appeal guidance to deepen denials, reconsideration, and hearing-path support for families.",Discovery or staging only until extracted rows pass public-safe validation.,https://www.ssa.gov/benefits/disability/appeal.html
knowledge-cms-medicaid-chip,national,,Medicaid and CHIP Information from CMS,https://www.medicaid.gov/medicaid/index.html,knowledge_articles,knowledge_content,benefits|insurance,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"program_overview, eligibility_topics, benefits_topics, official_links",Build Medicaid and CHIP overview content from a federal official source.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.medicaid.gov/medicaid/index.html
knowledge-cms-chip-program,national,,CHIP Program Information from CMS,https://www.medicaid.gov/chip/index.html,knowledge_articles,knowledge_content,benefits|insurance,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"chip_overview, child_coverage_topics, eligibility_topics, official_links",Add a dedicated official CHIP source for children who need public insurance guidance outside full Medicaid.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.medicaid.gov/chip/index.html
knowledge-medicaid-eligibility,national,,Medicaid Eligibility Information from CMS,https://www.medicaid.gov/medicaid/eligibility/index.html,knowledge_articles,knowledge_content,benefits|insurance,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"eligibility_overview, child_eligibility_topics, pathways, official_links",Add official Medicaid eligibility guidance to deepen benefits and coverage decision support for families.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.medicaid.gov/medicaid/eligibility/index.html
knowledge-medicaid-benefits-overview,national,,Medicaid Benefits Overview,https://www.medicaid.gov/medicaid/benefits/index.html,knowledge_articles,knowledge_content,benefits|insurance,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"benefits_overview, mandatory_optional_benefits, child_service_topics, official_links",Add an official Medicaid benefits overview to strengthen family guidance on covered services and care pathways.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.medicaid.gov/medicaid/benefits/index.html
knowledge-medicaid-hcbs,national,,Medicaid Home and Community-Based Services,https://www.medicaid.gov/medicaid/home-community-based-services/home-community-based-services-authorities/index.html,knowledge_articles,knowledge_content,benefits|caregiving,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"hcbs_authorities, waiver_types, service_examples, official_links",Build waiver and HCBS explainer content from official Medicaid guidance.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.medicaid.gov/medicaid/home-community-based-services/home-community-based-services-authorities/index.html
knowledge-acl-respite,national,,ACL National Family Caregiver Support Program,https://acl.gov/programs/support-caregivers/national-family-caregiver-support-program,knowledge_articles,knowledge_content,caregiving|respite,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"program_overview, respite_topics, eligibility_topics, official_links",Build caregiving and respite guidance from an official aging and caregiver support source.,Discovery or staging only until extracted rows pass public-safe validation.,https://acl.gov/programs/support-caregivers/national-family-caregiver-support-program
knowledge-acl-lifespan-respite,national,,ACL Lifespan Respite Care Program,https://acl.gov/programs/support-caregivers/lifespan-respite-care-program,knowledge_articles,knowledge_content,caregiving|respite,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"program_overview, respite_models, state_partnership_topics, official_links",Add a dedicated official respite source that deepens caregiver relief options and respite-program navigation.,Discovery or staging only until extracted rows pass public-safe validation.,https://acl.gov/programs/support-caregivers/lifespan-respite-care-program
knowledge-acl-supported-decision-making,national,,ACL Supported Decision-Making Program,https://acl.gov/programs/consumer-control/supported-decision-making-program,knowledge_articles,knowledge_content,transition|legal_aid|care_independent_living,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"decision_making_overview, alternatives_to_guardianship, transition_topics, official_links",Add official supported-decision-making guidance for transition-age youth and families weighing guardianship alternatives.,Discovery or staging only until extracted rows pass public-safe validation.,https://acl.gov/programs/consumer-control/supported-decision-making-program
knowledge-medicaid-epsdt,national,,Medicaid EPSDT Benefit,https://www.medicaid.gov/medicaid/benefits/early-and-periodic-screening-diagnostic-and-treatment/index.html,knowledge_articles,knowledge_content,benefits|insurance|early_intervention,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"benefit_overview, screening_requirements, diagnostic_treatment_scope, official_links","Build official EPSDT guidance for screening, diagnosis, and medically necessary treatment under Medicaid.",Discovery or staging only until extracted rows pass public-safe validation.,https://www.medicaid.gov/medicaid/benefits/early-and-periodic-screening-diagnostic-and-treatment/index.html
knowledge-medicaid-school-based-services,national,,Medicaid and School-Based Services,https://www.medicaid.gov/resources-for-states/medicaid-state-technical-assistance/medicaid-and-school-based-services,knowledge_articles,knowledge_content,benefits|education|special_education,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"school_medicaid_overview, eligible_services, billing_or_access_topics, official_links","Add official school-based Medicaid guidance connecting education supports, therapies, and coverage pathways.",Discovery or staging only until extracted rows pass public-safe validation.,https://www.medicaid.gov/resources-for-states/medicaid-state-technical-assistance/medicaid-and-school-based-services
knowledge-medicaid-chip-seamless-transitions,national,,Medicaid and CHIP Seamless Transitions,https://www.medicaid.gov/resources-for-states/eligibility-enrollment-and-renewal-tools-and-resources/medicaid-and-chip-seamless-transitions,knowledge_articles,knowledge_content,benefits|insurance|transition,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"transition_overview, renewal_or_transfer_steps, coverage_continuity_topics, official_links","Add official coverage-transition guidance for families moving between Medicaid, CHIP, and related eligibility pathways.",Discovery or staging only until extracted rows pass public-safe validation.,https://www.medicaid.gov/resources-for-states/eligibility-enrollment-and-renewal-tools-and-resources/medicaid-and-chip-seamless-transitions
knowledge-medicaid-hcbs-provisions,national,,Medicaid HCBS Provisions,https://www.medicaid.gov/medicaid/access-care/home-and-community-based-services-provisions,knowledge_articles,knowledge_content,benefits|caregiving|care_independent_living,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"hcbs_overview, community_support_topics, service_authority_topics, official_links",Deepen waiver and community-living guidance with an official HCBS policy and access explainer.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.medicaid.gov/medicaid/access-care/home-and-community-based-services-provisions
knowledge-medicaid-application-fair-hearings,national,,Medicaid Application and Fair Hearings Resources,https://www.medicaid.gov/resources-for-states/eligibility-enrollment-and-renewal-tools-and-resources/application-and-fair-hearings-resources,knowledge_articles,knowledge_content,benefits|appeals|insurance,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"fair_hearing_overview, application_dispute_steps, notice_or_deadline_topics, official_links",Add official Medicaid fair-hearing and application-dispute guidance to strengthen denial and appeal journey coverage.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.medicaid.gov/resources-for-states/eligibility-enrollment-and-renewal-tools-and-resources/application-and-fair-hearings-resources
knowledge-parent-center-iep-overview,national,,Parent Center Hub IEP Overview,https://www.parentcenterhub.org/iep-overview,knowledge_articles,knowledge_content,special_education|iep_advocacy,mission_aligned_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"iep_overview, meeting_process, parent_rights, next_steps",Build practical IEP explainer content from a high-trust parent-support source.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.parentcenterhub.org/iep-overview/
knowledge-parent-center-transition-adult,national,,Parent Center Hub Transition to Adulthood,https://www.parentcenterhub.org/transitionadult,knowledge_articles,knowledge_content,transition|jobs_vocational|special_education,mission_aligned_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"transition_timeline, school_to_adult_services, planning_steps, official_links","Build transition-to-adulthood guidance that bridges school rights, adult services, and vocational planning.",Discovery or staging only until extracted rows pass public-safe validation.,https://www.parentcenterhub.org/transitionadult/
knowledge-parent-center-section-504,national,,Parent Center Hub Section 504,https://www.parentcenterhub.org/section504,knowledge_articles,knowledge_content,special_education|appeals,mission_aligned_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"section_504_overview, eligibility, accommodation_examples, dispute_options","Build 504-plan guidance for accommodations, eligibility, and school-rights navigation.",Discovery or staging only until extracted rows pass public-safe validation.,https://www.parentcenterhub.org/section504/
knowledge-nichd-autism,national,,NICHD Autism Spectrum Disorder,https://www.nichd.nih.gov/health/topics/autism,knowledge_articles,knowledge_content,behavioral_health|early_intervention,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"condition_overview, symptoms, diagnosis_topics, treatment_topics, official_links",Add a second official autism journey source with diagnosis and treatment framing from NIH.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.nichd.nih.gov/health/topics/autism
knowledge-cdc-down-syndrome,national,,CDC Down Syndrome,https://www.cdc.gov/down-syndrome/about/index.html,knowledge_articles,knowledge_content,early_intervention|caregiving,official_knowledge_source,static_fetch,ready_lightweight,official_or_authoritative_directory,"condition_overview, developmental_supports, health_topics, official_links","Add an official CDC Down syndrome overview to deepen diagnosis, health, and support guidance.",Discovery or staging only until extracted rows pass public-safe validation.,https://www.cdc.gov/down-syndrome/about/index.html
